Title,Stars,DateTime
Think Like a Dog review – Feds bark as pet wisdom melts into syrup,2 out of 5 stars.,2020-07-02T08:00:47+0000
Inheritance review – preposterous and paper-thin New York thriller,1 out of 5 stars.,2020-07-02T06:00:45+0000
Infamous review – a gonzo shot at radical outlaw glamour,2 out of 5 stars.,2020-07-01T17:00:27+0000
"Film Title Poem review – scratched, dancing, scrunched-up celluloid",3 out of 5 stars.,2020-07-01T15:00:25+0000
"Film Title Poem review – scratched, dancing, scrunched-up celluloid",3 out of 5 stars.,2020-07-01T15:00:25+0000
"A White, White Day review – spiralling rage and stunning force",4 out of 5 stars.,2020-07-01T13:00:22+0000
Lynn + Lucy review – gruelling tragedy with a batsqueak of horror,4 out of 5 stars.,2020-07-01T11:00:20+0000
,,
Hamilton review – Broadway hit is now a breathtaking screen sensation,5 out of 5 stars.,2020-06-30T17:11:12+0000
Homemade review – Kristen Stewart leads Netflix's lockdown short films,3 out of 5 stars.,2020-06-29T14:25:38+0000
On the Record review – #MeToo music doc is essential viewing,4 out of 5 stars.,2020-06-28T10:00:02+0000
Irresistible review – subtle satire from Jon Stewart,3 out of 5 stars.,2020-06-28T07:00:25+0000
The Girl With a Bracelet review – classy courtroom drama,4 out of 5 stars.,2020-06-27T14:00:03+0000
The Girl With a Bracelet review – classy courtroom drama,4 out of 5 stars.,2020-06-27T14:00:03+0000
Carmine Street Guitars review – pure uncut music-geek erotica,4 out of 5 stars.,2020-06-26T06:00:42+0000
Ride Like a Girl review – Michelle Payne biopic is a feelgood victory lap,3 out of 5 stars.,2020-06-25T12:00:46+0000
The Booksellers review – warm study of a fast-shifting subculture,3 out of 5 stars.,2020-06-25T10:00:42+0000
The Girl With a Bracelet review – daringly cryptic murder mystery,3 out of 5 stars.,2020-06-25T08:00:40+0000
On the Record review – chilling exposé on #MeToo and the music industry,4 out of 5 stars.,2020-06-25T06:00:37+0000
Just Don’t Think I’ll Scream review – strangely moving movie-memoir,3 out of 5 stars.,2020-06-24T16:00:20+0000
Eurovision Song Contest: The Story of Fire Saga review – too timid for satire,2 out of 5 stars.,2020-06-24T14:00:18+0000
The Spy review – a showbiz star goes undercover in the Third Reich,3 out of 5 stars.,2020-06-24T13:00:25+0000
Shepherd: The Hero Dog review – Nazi-era drama strikes the right tone,3 out of 5 stars.,2020-06-24T11:00:22+0000
Irresistible review – Jon Stewart’s political non-satire for liberals is as dull as it gets,1 out of 5 stars.,2020-06-22T21:00:27+0000
From Centre Stage to You Got Served: why dance movies are the ultimate comfort-watch,Published: ,2020-06-22T17:30:23+0000
Empire Records: 90s cult classic starring Liv Tyler and Renée Zellweger is ripe for a comeback,Published: ,2020-06-21T17:30:22+0000
